LexToken(LPAREN,'(',45,1273)
LexToken(ID,'estudiantes',45,1274)
LexToken(COMMA,',',45,1285)
LexToken(ID,'nombreBuscado',45,1287)
LexToken(RPAREN,')',45,1300)
LexToken(SEMICOLON,';',45,1301)
LexToken(IF,'if',47,1306)
LexToken(LPAREN,'(',47,1309)
LexToken(ID,'buscado',47,1310)
LexToken(NOT_EQUALS,'!=',47,1318)
LexToken(ID,'null',47,1321)
LexToken(RPAREN,')',47,1325)
LexToken(LBRACE,'{',47,1327)
LexToken(PRINT,'print',48,1333)
LexToken(LPAREN,'(',48,1338)
LexToken(STRING,'\\n Estudiante encontrado: ${buscado.nombre}',48,1339)
LexToken(RPAREN,')',48,1384)
LexToken(SEMICOLON,';',48,1385)
LexToken(PRINT,'print',49,1391)
LexToken(LPAREN,'(',49,1396)
LexToken(STRING,'Promedio: ${buscado.promedio}',49,1397)
LexToken(RPAREN,')',49,1428)
LexToken(SEMICOLON,';',49,1429)
LexToken(RBRACE,'}',50,1433)
LexToken(ELSE,'else',50,1435)
LexToken(LBRACE,'{',50,1440)
LexToken(PRINT,'print',51,1446)
LexToken(LPAREN,'(',51,1451)
LexToken(STRING,"\\n Estudiante '$nombreBuscado' no encontrado.",51,1452)
LexToken(RPAREN,')',51,1499)
LexToken(SEMICOLON,';',51,1500)
LexToken(RBRACE,'}',52,1504)
LexToken(RBRACE,'}',53,1506)
LexToken(ID,'Estudiante',55,1509)
LexToken(QUESTION,'?',55,1519)
LexToken(ID,'buscarEstudiante',55,1521)
LexToken(LPAREN,'(',55,1537)
LexToken(LIST,'List',55,1538)
LexToken(LESS,'<',55,1542)
LexToken(ID,'Estudiante',55,1543)
LexToken(GREATER,'>',55,1553)
LexToken(ID,'lista',55,1555)
LexToken(COMMA,',',55,1560)
LexToken(STRING,'String',55,1562)
LexToken(ID,'nombre',55,1569)
LexToken(RPAREN,')',55,1575)
LexToken(LBRACE,'{',55,1577)
LexToken(FOR,'for',56,1581)
LexToken(LPAREN,'(',56,1585)
LexToken(VAR,'var',56,1586)
LexToken(ID,'est',56,1590)
LexToken(IN,'in',56,1594)
LexToken(ID,'lista',56,1597)
LexToken(RPAREN,')',56,1602)
LexToken(LBRACE,'{',56,1604)
LexToken(IF,'if',57,1610)
LexToken(LPAREN,'(',57,1613)
LexToken(ID,'est',57,1614)
LexToken(DOT,'.',57,1617)
LexToken(ID,'nombre',57,1618)
LexToken(DOT,'.',57,1624)
LexToken(ID,'toLowerCase',57,1625)
LexToken(LPAREN,'(',57,1636)
LexToken(RPAREN,')',57,1637)
LexToken(EQUALS,'==',57,1639)
LexToken(ID,'nombre',57,1642)
LexToken(DOT,'.',57,1648)
LexToken(ID,'toLowerCase',57,1649)
LexToken(LPAREN,'(',57,1660)
LexToken(RPAREN,')',57,1661)
LexToken(RPAREN,')',57,1662)
LexToken(LBRACE,'{',57,1664)
LexToken(RETURN,'return',58,1672)
LexToken(ID,'est',58,1679)
LexToken(SEMICOLON,';',58,1682)
LexToken(RBRACE,'}',59,1688)
LexToken(RBRACE,'}',60,1692)
LexToken(RETURN,'return',61,1696)
LexToken(ID,'null',61,1703)
LexToken(SEMICOLON,';',61,1707)
LexToken(RBRACE,'}',62,1709)
