LexToken(STRING,'Elemento buscado existe: ${resumen[',43,1077)
LexToken(ID,'existe',43,1114)
LexToken(STRING,']}',43,1120)
LexToken(RPAREN,')',43,1124)
LexToken(SEMICOLON,';',43,1125)
LexToken(RBRACE,'}',44,1130)
LexToken(RBRACE,'}',45,1133)
LexToken(VOID,'void',47,1137)
LexToken(ID,'main',47,1142)
LexToken(LPAREN,'(',47,1146)
LexToken(RPAREN,')',47,1147)
LexToken(LBRACE,'{',47,1149)
LexToken(LIST,'List',48,1154)
LexToken(LESS,'<',48,1158)
LexToken(INT,'int',48,1159)
LexToken(GREATER,'>',48,1162)
LexToken(ID,'lista',48,1164)
LexToken(ASSIGN,'=',48,1170)
LexToken(LBRACKET,'[',48,1172)
LexToken(INT,3,48,1173)
LexToken(COMMA,',',48,1174)
LexToken(INT,6,48,1176)
LexToken(COMMA,',',48,1177)
LexToken(INT,8,48,1179)
LexToken(COMMA,',',48,1180)
LexToken(INT,12,48,1182)
LexToken(COMMA,',',48,1184)
LexToken(INT,15,48,1186)
LexToken(COMMA,',',48,1188)
LexToken(INT,20,48,1190)
LexToken(RBRACKET,']',48,1192)
LexToken(SEMICOLON,';',48,1193)
LexToken(INT,'int',49,1198)
LexToken(ID,'objetivo',49,1202)
LexToken(ASSIGN,'=',49,1211)
LexToken(INT,12,49,1213)
LexToken(SEMICOLON,';',49,1215)
LexToken(VAR,'var',50,1220)
LexToken(ID,'analizador',50,1224)
LexToken(ASSIGN,'=',50,1235)
LexToken(ID,'Analizador',50,1237)
LexToken(LPAREN,'(',50,1247)
LexToken(ID,'lista',50,1248)
LexToken(RPAREN,')',50,1253)
LexToken(SEMICOLON,';',50,1254)
LexToken(INT,'int',51,1259)
LexToken(ID,'pos',51,1263)
LexToken(ASSIGN,'=',51,1267)
LexToken(ID,'analizador',51,1269)
LexToken(DOT,'.',51,1279)
LexToken(ID,'busquedaBinaria',51,1280)
LexToken(LPAREN,'(',51,1295)
LexToken(ID,'objetivo',51,1296)
LexToken(RPAREN,')',51,1304)
LexToken(SEMICOLON,';',51,1305)
LexToken(ID,'analizador',52,1310)
LexToken(DOT,'.',52,1320)
LexToken(ID,'calcularResumen',52,1321)
LexToken(LPAREN,'(',52,1336)
LexToken(RPAREN,')',52,1337)
LexToken(SEMICOLON,';',52,1338)
LexToken(IF,'if',53,1343)
LexToken(LPAREN,'(',53,1346)
LexToken(ID,'pos',53,1347)
LexToken(NOT_EQUALS,'!=',53,1351)
LexToken(MINUS,'-',53,1354)
LexToken(INT,1,53,1355)
LexToken(RPAREN,')',53,1356)
LexToken(LBRACE,'{',53,1358)
LexToken(PRINT,'print',54,1365)
LexToken(LPAREN,'(',54,1370)
LexToken(STRING,'Elemento encontrado en posición $pos',54,1371)
LexToken(RPAREN,')',54,1409)
LexToken(SEMICOLON,';',54,1410)
LexToken(RBRACE,'}',55,1415)
LexToken(ELSE,'else',55,1417)
LexToken(LBRACE,'{',55,1422)
LexToken(PRINT,'print',56,1429)
LexToken(LPAREN,'(',56,1434)
LexToken(STRING,'Elemento no encontrado',56,1435)
LexToken(RPAREN,')',56,1459)
LexToken(SEMICOLON,';',56,1460)
LexToken(RBRACE,'}',57,1465)
LexToken(ID,'analizador',58,1470)
LexToken(DOT,'.',58,1480)
LexToken(ID,'mostrarResumen',58,1481)
LexToken(LPAREN,'(',58,1495)
LexToken(RPAREN,')',58,1496)
LexToken(SEMICOLON,';',58,1497)
LexToken(VAR,'var',59,1502)
LexToken(ID,'entrada',59,1506)
LexToken(ASSIGN,'=',59,1514)
LexToken(FLOAT,2.34,59,1516)
LexToken(SEMICOLON,';',59,1520)
LexToken(RBRACE,'}',60,1522)
