LexToken(LPAREN,'(',61,1146)
LexToken(RPAREN,')',61,1147)
LexToken(LBRACE,'{',61,1149)
LexToken(LIST,'List',62,1154)
LexToken(LESS,'<',62,1158)
LexToken(INT,'int',62,1159)
LexToken(GREATER,'>',62,1162)
LexToken(ID,'lista',62,1164)
LexToken(ASSIGN,'=',62,1170)
LexToken(LBRACKET,'[',62,1172)
LexToken(INT,3,62,1173)
LexToken(COMMA,',',62,1174)
LexToken(INT,6,62,1176)
LexToken(COMMA,',',62,1177)
LexToken(INT,8,62,1179)
LexToken(COMMA,',',62,1180)
LexToken(INT,12,62,1182)
LexToken(COMMA,',',62,1184)
LexToken(INT,15,62,1186)
LexToken(COMMA,',',62,1188)
LexToken(INT,20,62,1190)
LexToken(RBRACKET,']',62,1192)
LexToken(SEMICOLON,';',62,1193)
LexToken(INT,'int',63,1198)
LexToken(ID,'objetivo',63,1202)
LexToken(ASSIGN,'=',63,1211)
LexToken(INT,12,63,1213)
LexToken(SEMICOLON,';',63,1215)
LexToken(VAR,'var',64,1220)
LexToken(ID,'analizador',64,1224)
LexToken(ASSIGN,'=',64,1235)
LexToken(ID,'Analizador',64,1237)
LexToken(LPAREN,'(',64,1247)
LexToken(ID,'lista',64,1248)
LexToken(RPAREN,')',64,1253)
LexToken(SEMICOLON,';',64,1254)
LexToken(INT,'int',65,1259)
LexToken(ID,'pos',65,1263)
LexToken(ASSIGN,'=',65,1267)
LexToken(ID,'analizador',65,1269)
LexToken(DOT,'.',65,1279)
LexToken(ID,'busquedaBinaria',65,1280)
LexToken(LPAREN,'(',65,1295)
LexToken(ID,'objetivo',65,1296)
LexToken(RPAREN,')',65,1304)
LexToken(SEMICOLON,';',65,1305)
LexToken(ID,'analizador',66,1310)
LexToken(DOT,'.',66,1320)
LexToken(ID,'calcularResumen',66,1321)
LexToken(LPAREN,'(',66,1336)
LexToken(RPAREN,')',66,1337)
LexToken(SEMICOLON,';',66,1338)
LexToken(IF,'if',67,1343)
LexToken(LPAREN,'(',67,1346)
LexToken(ID,'pos',67,1347)
LexToken(NOT_EQUALS,'!=',67,1351)
LexToken(MINUS,'-',67,1354)
LexToken(INT,1,67,1355)
LexToken(RPAREN,')',67,1356)
LexToken(LBRACE,'{',67,1358)
LexToken(PRINT,'print',68,1365)
LexToken(LPAREN,'(',68,1370)
LexToken(STRING,'Elemento encontrado en posición $pos',68,1371)
LexToken(RPAREN,')',68,1409)
LexToken(SEMICOLON,';',68,1410)
LexToken(RBRACE,'}',69,1415)
LexToken(ELSE,'else',69,1417)
LexToken(LBRACE,'{',69,1422)
LexToken(PRINT,'print',70,1429)
LexToken(LPAREN,'(',70,1434)
LexToken(STRING,'Elemento no encontrado',70,1435)
LexToken(RPAREN,')',70,1459)
LexToken(SEMICOLON,';',70,1460)
LexToken(RBRACE,'}',71,1465)
LexToken(ID,'analizador',72,1470)
LexToken(DOT,'.',72,1480)
LexToken(ID,'mostrarResumen',72,1481)
LexToken(LPAREN,'(',72,1495)
LexToken(RPAREN,')',72,1496)
LexToken(SEMICOLON,';',72,1497)
LexToken(VAR,'var',73,1502)
LexToken(ID,'entrada',73,1506)
LexToken(ASSIGN,'=',73,1514)
LexToken(FLOAT,2.34,73,1516)
LexToken(SEMICOLON,';',73,1520)
LexToken(RBRACE,'}',74,1522)
